0,1
"{'ML model': 'DT', 'Iteration': 0, 'Particle': 0, 'Particle centroid': array([[63, 'female div/dep/mar', 'unemp/unskilled non res'],
       [48, 'female div/dep/mar', 'skilled'],
       [25, 'male mar/wid', 'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.705, 'Precision': 0.7633587786259542, 'Recall': 0.78125, 'F1 score': 0.7722007722007722, 'AUC': 0.6753472222222221, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 0, 'Particle': 1, 'Particle centroid': array([[34, 'male mar/wid', 'unskilled resident'],
       [33, 'male mar/wid', 'unemp/unskilled non res'],
       [21, 'female div/dep/mar', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': 0.69, 'Precision': 0.7763157894736842, 'Recall': 0.8082191780821918, 'F1 score': 0.7919463087248322, 'AUC': 0.5892947742262811, 'Entropy-Loss': 11.173532550626316, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 1, 'Particle': 0, 'Particle centroid': array([[63.0, 'female div/dep/mar', 'unemp/unskilled non res'],
       [48.0, 'female div/dep/mar', 'skilled'],
       [25.0, 'male mar/wid', 'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.705, 'Precision': 0.7633587786259542, 'Recall': 0.78125, 'F1 score': 0.7722007722007722, 'AUC': 0.6753472222222221, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 1, 'Particle': 1, 'Particle centroid': array([[34.05187393476164, 'male mar/wid', 'unskilled resident'],
       [33.026831345566364, 'male mar/wid', 'unemp/unskilled non res'],
       [21.007155025484362, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.705, 'Precision': 0.7605633802816901, 'Recall': 0.8120300751879699, 'F1 score': 0.7854545454545454, 'AUC': 0.6522836943104028, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 2, 'Particle': 0, 'Particle centroid': array([[63.0, 'female div/dep/mar', 'unemp/unskilled non res'],
       [48.0, 'female div/dep/mar', 'skilled'],
       [25.0, 'male mar/wid', 'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.705, 'Precision': 0.7633587786259542, 'Recall': 0.78125, 'F1 score': 0.7722007722007722, 'AUC': 0.6753472222222221, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 2, 'Particle': 1, 'Particle centroid': array([[34.20809112244556, 'male mar/wid', 'unskilled resident'],
       [33.10763333919598, 'male mar/wid', 'unemp/unskilled non res'],
       [21.028702223785594, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.735, 'Precision': 0.8175675675675675, 'Recall': 0.8231292517006803, 'F1 score': 0.8203389830508474, 'AUC': 0.6568476447182647, 'Entropy-Loss': 9.551568148116045, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 3, 'Particle': 0, 'Particle centroid': array([[62.84369049384782, 'female div/dep/mar',
        'unemp/unskilled non res'],
       [47.919150255438524, 'female div/dep/mar', 'skilled'],
       [24.97844006811694, 'male mar/wid', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': 0.705, 'Precision': 0.7633587786259542, 'Recall': 0.78125, 'F1 score': 0.7722007722007722, 'AUC': 0.6753472222222221, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 3, 'Particle': 1, 'Particle centroid': array([[34.36248814985459, 'male mar/wid', 'unskilled resident'],
       [33.18749387061444, 'male mar/wid', 'unemp/unskilled non res'],
       [21.049998365497185, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.735, 'Precision': 0.8175675675675675, 'Recall': 0.8231292517006803, 'F1 score': 0.8203389830508474, 'AUC': 0.6568476447182647, 'Entropy-Loss': 9.551568148116045, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
"{'ML model': 'DT', 'Iteration': 4, 'Particle': 0, 'Particle centroid': array([[62.43912980376081, 'female div/dep/mar',
        'unemp/unskilled non res'],
       [47.70989472608318, 'female div/dep/mar', 'skilled'],
       [24.922638593622178, 'male mar/wid', 'unemp/unskilled non res']],
      dtype=object), 'Accuracy': 0.705, 'Precision': 0.7633587786259542, 'Recall': 0.78125, 'F1 score': 0.7722007722007722, 'AUC': 0.6753472222222221, 'Entropy-Loss': 10.632877749789559, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}","{'ML model': 'DT', 'Iteration': 4, 'Particle': 1, 'Particle centroid': array([[34.51266256205877, 'male mar/wid', 'unskilled resident'],
       [33.26517029072005, 'male mar/wid', 'unemp/unskilled non res'],
       [21.070712077525346, 'female div/dep/mar',
        'unemp/unskilled non res']], dtype=object), 'Accuracy': 0.735, 'Precision': 0.8175675675675675, 'Recall': 0.8231292517006803, 'F1 score': 0.8203389830508474, 'AUC': 0.6568476447182647, 'Entropy-Loss': 9.551568148116045, 'num_clusters': 3, 'num_valid_clusters': 3, 'num_violated_clusters': 0, 'num_violating_records_before_adjusting': 0, 'num_retained_records': 60, 'num_excess_records': 940, 'num_fixed_clusters': 0, 'num_used_excess': 0, 'num_remaining_excess': 940, 'num_unfixed_clusters': 0, 'num_total_violating_records_after_adjusting': 0}"
