round,k,model,global_best,n_cluster,n_clusters_set
4,20,DT,10.959072812800002,24,25
0,20,DT,10.8689636793,33,35
8,20,DT,10.858150583900004,47,50
3,20,DT,10.814898199700002,43,45
2,20,DT,10.8509418533,40,45
9,20,DT,10.6995585087,45,50
1,20,DT,10.933842255500004,34,35
5,20,DT,10.9032051502,25,25
7,20,DT,10.903205150099998,23,25
3,20,DT,10.883381141000003,31,35
8,20,DT,10.903205150200003,20,20
0,20,DT,10.8058872859,43,45
1,20,DT,10.886985506799999,41,45
9,20,DT,10.9644793613,20,20
2,20,DT,10.905007332799999,35,35
6,20,DT,10.9644793612,25,25
2,20,DT,10.8996007858,25,25
9,20,DT,10.876172410199999,29,30
6,20,DT,10.8977986023,35,35
5,20,DT,10.814898199000002,41,45
4,20,DT,10.858150583300002,42,45
7,20,DT,10.8996007849,33,35
8,20,DT,10.867161496900003,28,30
3,20,DT,10.9915121015,25,25
1,20,DT,10.863557130800004,24,25
9,20,DT,10.870765862400003,39,40
5,20,DT,10.854546218600001,34,35
6,20,DT,10.8203047475,43,45
7,20,DT,10.832920026,41,45
4,20,DT,10.9086116986,35,35
8,20,DT,10.917622611400002,38,40
0,20,DT,10.8797767757,22,25
5,20,DT,10.905007333499999,15,15
4,20,DT,10.968083726300003,15,15
6,20,DT,10.968083726500002,15,15
9,20,DT,10.9176226118,10,10
8,20,DT,10.908611698399998,10,10
7,20,DT,10.8923920546,15,15
3,20,DT,10.962677178899998,15,15
2,20,DT,10.9788968222,15,15
0,20,DT,10.950061900300005,15,15
1,20,DT,10.895996420100003,14,15
3,20,DT,10.8779745936,10,10
2,20,DT,10.751821806600006,10,10
0,20,DT,10.939248803999998,10,10
1,20,DT,10.917622611600002,10,10
5,20,DT,10.968083727300002,10,10
4,20,DT,11.0149404754,10,10
9,20,DT,10.9879077351,15,15
6,20,DT,10.9302378898,10,10
7,20,DT,10.941050985800004,8,10
8,20,DT,10.8887876896,15,15
6,20,DT,10.870765862000002,29,30
5,20,DT,10.782458911500001,38,40
9,20,DT,10.910413880800002,34,35
2,20,DT,10.917622611399999,20,20
1,20,DT,10.728393431600002,47,50
0,20,DT,10.713975969600002,50,50
3,20,DT,10.9446553515,20,20
8,20,DT,10.822106930499999,35,35
4,20,DT,10.8869855061,37,40
7,20,DT,10.932040073200003,28,30
5,20,DT,10.831117843500001,28,30
6,20,DT,10.8365243917,36,40
1,20,DT,10.933842255600002,20,20
2,20,DT,10.859952766000001,48,50
9,20,DT,10.8203047475,44,45
8,20,DT,10.8797767752,41,45
3,20,DT,10.825711295800001,47,50
0,20,DT,10.9626771783,20,20
7,20,DT,10.9068095162,39,40
4,20,DT,10.847337487499999,27,30
0,20,DT,10.9068095158,30,30
3,20,DT,10.818502564499997,37,40
4,20,DT,10.971688091800004,20,20
7,20,DT,10.877974593200001,45,50
6,20,DT,10.6112515584,47,50
5,20,DT,10.9843033703,20,20
2,20,DT,10.861754948699998,39,40
1,20,DT,10.935644438299999,29,30
8,20,DT,10.823909112599999,25,25
3,20,DT,10.856348400900004,29,30
0,20,DT,10.861754949000002,38,40
7,20,DT,10.9734902744,19,20
4,20,DT,10.771645815299998,46,50
5,20,DT,10.796876373,45,50
6,20,DT,10.886985506199998,19,20
1,20,DT,10.886985506400002,37,40
2,20,DT,10.9032051499,28,30
9,20,DT,10.838326573899998,25,25
